,Description,Label
598,Job got failed due to process state failure. Then issue was fixed and job was re-started.,neg
599,The job abended with PIPE error due to login timeout issue. THe issue was fixed and the job was restarted and completed successfully.,pos
600,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.,neg
601,Confirmed at backend,pos
602,Job got abended due to duplicate issue. Then issue has been fixed and job has been re-executed and completed successfully,pos
603,"source file not available , job completed successfully ,once the source file was available.",pos
604,The job completed successfully on re-executing the job,pos
605,Job completed successfully by running the query manually.,pos
606,Self-lock. Job completed by running the query manually.,pos
607,Job completed in backend.,pos
608,Source file issue. Job completed once the file was avaialble.,pos
609,"Table locked , release tbload , the job completed successfully.",pos
610,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
611,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
612,Jobs were getting failed due to extraction issue. Hence job has been cancelled for the day.,neg
613,wrongly triggered.,pos
614,re run was successfull,pos
615,The job was killed as it got hanged. We have cancelled the batch for the day.,neg
616,Job got failed due to connectivity issue. Then job was re-started,neg
617,the job abended due to source database connection time out. We are cancelling the batch for the day.,neg
618,no source file . completed on re-run,neg
619,Job completed successfully by running the query manually.,pos
620,self lock. script executed.,pos
621,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,neg
622,The job completed on re-run,pos
623,The job failed due to log in time out error which has bee re-executed and completed successfully,neg
624,The job ran successfully on re-run,pos
625,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,neg
626,rerun was successful,pos
627,Job got failed due to connectivity issue. Then job was re-started,neg
628,completed on re-run,pos
629,"Job failed due to AMBIGUOS error. On re-running of the tdata script's manually, the job was completed successfully.",neg
630,Source file not available.,pos
631,login timed out error. Completed on re-run,neg
632,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.,neg
633,The job got killed due to tbload issue. the tbload was removed and the job was restarted and completed successfully.,neg
634,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
635,Job got trigerred incorrectly Hence job was manually aborted.,pos
636,re-run was successful.,pos
637,Job got failed due to connectivity issue. Then job was re-started and completed succcessfully.,neg
638,completed on re-run,pos
639,Completed on re-run,pos
640,self lock. script execueted.,pos
641,"wnash access issue , on rerun the job completed successfully.",pos
642,Completed on re-run,pos
643,Source file issue. Job completed after receiving the file.,pos
644,brj issue. Job re-run once brj is up and completed successfully.,pos
645,completed on re-run,pos
646,Job got failed due to login time out. Then job was re-started.,neg
647,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,neg
648,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.,pos
649,Job got failed due to file unavailability. Then issue was fixed and job wass re-started,neg
650,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
651,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
652,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
653,On re-run job completed successfully.,pos
654,job cancelled,neg
655,The job abended as the source file is not received. The batch was cancelled for the day.,neg
656,The job has completed successfully on re-run,pos
657,Source file not available. Job re-run once the file is available.,pos
658,The job ran successfully on re-run,pos
659,The job got abended with PIPE error due to database connection time out.,neg
660,On re-run job completed successfully.,pos
661,self lock. script executed,pos
662,JOb got failed due to duplicate issue. Then issue was fixed and job was re-started.,neg
663,Job got failed due to name pipe error. THen job was restarted and completed.,neg
664,On re-run job completed successfully.,pos
665,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
666,the job completed on rerun,pos
667,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully,pos
668,self lock. script executed.,pos
669,JOb got failed due to name pipe error issue. Then job was re-started and completed successfully,neg
670,brj issue. completed on re-run,pos
671,Batch Issues. Jobs were re-run successfully.,pos
672,on rerun the job completed successfully.,pos
673,The job completed successfully on re-executing the job,pos
674,Job got abended due to duplicate issue. Then issue has been fixed and job  has been re-executed and completed successfully.,pos
675,brj issue. Job re-run once brj is up and completed successfully.,pos
676,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
677,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,neg
678,The job was successful on re-run,pos
679,The job abended as the source connection was not active. We have cancelled the batch for the day's run.,neg
680,self lock. script executed.,pos
681,Job got failed due to data issue. Then issue was fixed and job was re started.,neg
682,brj issue. Job re-run once brj is up and completed successfully.,pos
683,On re-run job completed successfully.,pos
684,Job completed after source file is arrived.,pos
685,TODS issue.,pos
686,Source file issue. Job re-run once the file was available.,pos
687,completed on re-run,pos
688,Source file unavailability. ,pos
689,Source file issue. Job re-run once the file was available.,pos
690,"
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.",neg
691,completed on re-run,pos
692,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
693,on rerun the job completed successfully,pos
694,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,neg
695,Failed due to Row count file issue. And the file was moved to arrival area and the job was successful.,pos
696,"Job failed due to AMBIGUOS error. On re-running of the tdata script's manually, the job was completed successfully.",neg
697,"Source file unavailability , job completed successfully after receiving the updated file.",pos
698,Job got falied due to connectivity issue. Then job was completed on successful re-run,pos
699,completed successfully on re-running,pos
700,completed on re run,pos
701,The job completed successfully on re-executing the job,pos
702,Self-lock. Job completed by running the query manually.,pos
703,completed on re-run,pos
704,Job got failed due to name pipe error. THen job was restarted and completed.,neg
705,Job got failed due to connectivity issue. Then job was re-started,neg
706,The job completeled successfully on rerun,pos
707,The completed successfully on rerun,pos
708,The job ran successfully on re-run,pos
709,brj issue. completed on re-run,pos
710,completed on re-run,pos
711,Source file issue. ,pos
712,Self-lock. Job completed by running the query manually.,pos
713,brj issue. Job re-run once brj is up and completed successfully.,pos
714,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,neg
715,re run was successfull,pos
716,JOb got failed due to tbload issue. Then issue has been fixed and job was re-started.,neg
717,Source file issue. Job completed once the file was avaialble.,pos
718,"There was an issue with TD upgrade, fix was later provided by DBA after which jobs are rerun  and completed successfully",pos
719,no spool space in db. completed on re-run,neg
720,Self-lock occured. Job completed after running the query manually.,pos
721,no source file.,neg
722,"There was an issue with TD upgrade, fix was later provided by DBA after which jobs are rerun  and completed successfully",pos
723,No source file.,neg
724,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
725,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
726,The job ran successfully on re-run,pos
727,"wnash access issue , on rerun the job completed successfully.",pos
728,"on rerun the job completed successfully , by changing the SP value",pos
729,The job has been completed successfully on re-run.,pos
730,JOb got failed due to duplicate issue. Then issue was fixed and job was re-started.,neg
731,login timed out error & completed on re-run,neg
732,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
733,Self-lock occured. Job completed by running the query manually.,pos
734,On re-run job completed successfully.,pos
735,Job got failed due to extraction issue. Hene batch has been canceelled for the day.,neg
736,JOb got failed due to file unavailability. Then job was restarted once file have been placed in the path,neg
737,The job completed successfully on re-executing the job,pos
738,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
739,Job was cancelled.,neg
740,"self lock. script executed.
",pos
741,Job got failed due to  incorrect stream closure. Then issue was fixed and JOb was restarted and completed,neg
742,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.,neg
743,The job abended as the source file is not received. The batch was cancelled for the day.,neg
744,The job failed due to file unavailability.This has been resolved after file recieved and re-execution.,neg
745,Self-lock occured. Job completed on re-run,pos
746,Source file not available. Job re-run once the file is available.,pos
747,The job failed due to file unavailability.The job completed later.,neg
748,Wrongly triggered,pos
749,The job has been cancelled,neg
750,table has been locked.completed on run after tbload release,pos
751,The job got abended with PIPE error due to database connection time out.,neg
752,brj issue. Job re-run once brj is up and completed successfully.,pos
753,no spool space in db. completed on re-run,neg
754,Source file not available. Job re-run once the file is available.,pos
755,"There was an issue with TD upgrade, fix was later provided by DBA after which jobs are rerun  and completed successfully",pos
756,"table has been locked. released the loack, moved the row count file to arrival and re run was successful",pos
757,Job got failed due to file unavailability. Then job was re started once the file was placed in the path.,neg
758,failed due to TODS error.re-executed and completed successfully,neg
759,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,neg
760,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.,pos
761,Job got abended due to data issue. Then issue has been fixed and job has been re-executed and compelted sucecssfully,pos
762,Self-lock. Job completed by running the query manually.,pos
763,Job got failed due to file unavailability.,neg
764,the job was killed as it hanged for long time. the job was cancelled for the day.,neg
765,"There was an issue with the TD upgrade happened, fix was later provide by DBA after which job has been rerun and completed successfully",pos
766,Source file not available.,pos
767,table has been locked. released m load  and completed on re-run,pos
768,Wrongly triggered.,pos
769,JOb got failed due to name pipe error issue. Then job was re-started and completed successfully,neg
770,No source file.,neg
771,Called support team and closing the incident as it is a duplicate incident.,pos
772,Source file issue. Job completed after receiving the file.,pos
773,"The job abended due to tbload Issue, the issue was fixed and the job was restarted and completed successfully",pos
774,No source file.,neg
775,re-run was successful.,pos
776,Job got failed due to connectivity issue. Then job was re-started and completed succcessfully.,neg
777,Source file issue,pos
778,brj issue. Job re-run once brj is up and completed successfully.,pos
779,JOb got failed due to data issue. Then issue was fixed and job was restarted and completed successfully.,neg
780,No source file.,neg
781,JOb got failed due to data issue. Then issue was fixed and job was re-started.,neg
782,"Time out issue , rerun was success",pos
783,brj issue.Completed on re-run,pos
784,Source file not available. Job re-run once the file is available.,pos
785,The job ran successfully on re-run,pos
786,On re-run job completed successfully.,pos
787,Batch Issues. Jobs were re-run successfully.,pos
788,Job got failed due to name pipe error. THen job was restarted and completed.,neg
789,Source file issue. Job completed after receiving the file.,pos
790,Source level issue (i.e. source file missing (or) Invalid data format from source)  leads to the job failure. The job was restarted and it got completed successfully.,neg
791,"schedule was on hold due to performance issues, will be run in next day's load",pos
792,The job failed due to count validity.The job re-reran after con sulting with hadoop team.The job completed successfull.,neg
793,"self Lock occurred , completed the job by running the script",pos
794,"Source file unavailability , job completed successfully after receiving the updated file.",pos
795,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
796,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully.",pos
797,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.,neg
798,brj was unlinked hence jobs failed. Jobs were re-run successfully.,neg
799,Source file issue. Job completed after receiving the file.,pos
800,the job failed due to bad character which udated and completed successfully.,neg
801,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.",neg
802,"Source file unavailable , job completed successfully after receiving the updated file.",pos
803,Job completed on re-run.,pos
804,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
805,the job was killed as it hanged for long time. the job was cancelled for the day.,neg
806,THe job abended as the stream instance was still active. The stream was closed manually and the job was restarted and completed successfully.,pos
807,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
808,completed on re-run,pos
809,Job re-run by changing the substitution parameter.,pos
810,It will runon sundays.It will be executed manually due to availability of files and batch bandwidth.,pos
811,Job got abended due to duplicate issue. Then issue has been fixed and job has been re-executed and completed successfully.,pos
812,The job Abended after running for long time. The next day's backup batch have covered all the backlogs.,pos
813,Successful on re- run,pos
814,"duplicate issue , removed the duplicates , the job completed successfully",pos
815,Job got failed due to count mismatch. Then issue has been fixed and job has been re started,neg
816,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.,pos
817,Completed on re-run,pos
818,table has been locked.completed on run after tbload release,pos
819,Source file not available. Job re-run once the file is available.,pos
820,Self-lock. Job completed by running the query manually.,pos
821,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,neg
822,Self-lock. Job completed by running the query manually.,pos
823,Job got failed due to duplicate issue. Then issue has been fixed and  job has been re-executed and completed successfully.,neg
824,"Tanle has been locked. released the lock, dropped the temp table and moved the row count from archieval to arrival.",pos
825,The job ran successfully on re-run,pos
826,wrongly triggred from maestro.,pos
827,Job failed due to database unavailability.It completed successfully after the server availability.,neg
828,brj issue. completed on re-run,pos
829,Source file issue. Job completed after receiving the file.,pos
830,The job was executed successfully on rerun,pos
831,"There was an issue with the TD upgrade happened, fix was later provide by DBA after which job has been rerun and completed successfully",pos
832,Source file issue. Job completed after receiving the file.,pos
833,Job got failed due to file unavailability. Then issue was fixed and job was re-started.,neg
834,re run was successfull,pos
835,the job ran successfully on re-run,pos
836,self lock. Script executed,pos
837,Login timed out error. completed on re-run,neg
838,self lock. script executed.,pos
839,schedule triggered wrongly. so the job are killed manually. ,neg
840,No source file.,neg
841,Job completed successfully on re-run.,pos
842,dead lock. completed on re-run,neg
843,The job completed successfully on re-executing the job,pos
844,"tdata disconnected , on rerun the job completed successfully.",pos
845,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.",neg
846,JOb got failed due to tdata outage. Then issue was fixed and job was re-started.,neg
847,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
848,self lock. script executed.,pos
849,"issue in data extraction, liasing with source team.",pos
850,completed on re-run.,pos
851,re-run abend . so closing th incident,pos
852,">> Stream Stop job is manually closed and confirmed success in brj, there is a permanent fix planned for this activity which will be carried out under the CSI task CSITASK00001054",pos
853,Job got failed due to login time-out issue.  Then job got completed successfully on re-ran.,neg
854,re-run was successfull.,pos
855,he job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,neg
856,On re-run job completed.,pos
857,on rerun the job executed successfully.,pos
858,Confirmed at backened,pos
859,job cancelled,neg
860,The job has been ran successfully on rerun,pos
861,"Since there are issues with Events in brj, we held the LH batched in brj and running them manually.",pos
862,"Source file unavailable , job completed successfully after receiving the updated file.",pos
863,The job was executing for long time. We have killed the job manually and confirmed as success.,neg
864,Source level issue (i.e. source file missing (or) Invalid data format from source)  leads to the job failure. The job was restarted and it got completed successfully.,neg
865,brj issue. Job re-run once brj is up and completed successfully.,pos
866,"issue due to TD upgrade,successful on rerun",pos
867,"Batch entry was not there , updated the entry to R status f, the job completed successfully.",pos
868,no source file.,neg
869,Job marked as completed.,pos
870,Job got failed due to connectivity issue. Then issue has been fixed and job was re-started.,neg
871,job got failed due to name pipe error. Then issue was fixed and job was re-started,neg
872,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.,neg
873,"self lock occurred , run the job by script ",pos
874,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,neg
875,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
876,Job has been re-run successfully.,pos
877,Job got trigerred wrongly. Hence Job was aborted and cancelled,neg
878,Source file issue. Job completed after the file is available.,pos
879,Job completed at backend.,pos
880,The job failed due to log in time out error which has bee re-executed and completed successfully,neg
881,Job got failed due to file unavailability. Then issue was fixed and job wass re-started,neg
882,Login timed out error. completed on re-run,neg
883,Wrongly triggered,pos
884,table locked. completed on re-run,pos
885,THe job abended as the table was undergoing a lock in the  TD database. We have cancelled the batch for the day's run.,neg
886,The ran successfully on re-run,pos
887,The job got abended with PIPE error due to database connection time out.,neg
888,Job got failed due to file unavailability. Job was re started once the file was placed in source path.,neg
889,The job abended due to dupllicate/NULL/Invalid Format issue. The issue was fixed and the job was restarted and completed successfully.,pos
890,Job abended as the oraacle source database was down. The job will be restarted once the Oracle server is restarted.,pos
891,Job got failed due to file unavailability. Then job was re started once the file was placed in the path.,neg
892,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
893,Successful on re- run,pos
894,The job failed due to log-in time out which has been re-executed and completed successfully.,neg
895,no spool space in db. completed on re-run,neg
896,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
897,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
898,Source file issue.,pos
899,JOb got failed due to connectivity issue. Then job has been restarted.,neg
900,JOb got failed due to connectivity  issue. Then job was re-started.,neg
901,Job got failed due to duplicate issue. Then issue has been fixed and  job has been re-executed and completed successfully.,neg
902,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
903,re run was successfull,pos
904,Source file not available. Job re-run once the file is available.,pos
905,Failed due to login time out issue and on re-running job got completed successfully.,neg
906,JOb got failed due to data issue. Then issue was fixed and job was re-started.,neg
907,Job has been re-run successfully.,pos
908,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully.",pos
909,source file not available.,pos
910,On re-run job completed successfully.,pos
911,Successful on re- run,pos
912,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.,neg
913,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
914,Job completed on re-run.,pos
915,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.,neg
916,The job abended due to duplicate data issue. The issue was fixed manually and the job was restarted and completed successfully.,pos
917,Job got failed due to tdata connecitivity issuee. Then job was re-started and completed successfully.,neg
918,Job got failed due to login time out. Then job was re-started.,neg
919,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.",neg
920,The job abended due to the login time out issue. The job was restarted after some time when the TD box load was free and it got completed successfully.,pos
921,Job got failed due to name pipe error. Then JOb was restarted and completed,neg
922,self lock. script executed.,pos
923,"Time out issue , on rerun the job completed successfully.",pos
924,The job completed successfully on re-executing the job,pos
925,Source file not available. Job re-run once the file is available.,pos
926,JOb got failed due to duplicate issue. Then issue was fixed and job was restarted.,neg
927,Source file not available.,pos
928,Thsi schedule is on hold since the source was switchedoff for past two days. this scheduled will be released today.,pos
929,Issue with job. we will release once the issue is fixed.,pos
930,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,neg
931,Ran Successfully on re-run,pos
932,Job executed successfully at back end.,pos
933,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,neg
934,no spool space in db. completed on re-run,neg
935,JOb got failed due to null value issue. Then issue was resolved and job was re started.,neg
936,The job failed due to tbload.It completed successfulll after releasing the tbload.,neg
937,Job got failed due to connectivity issue. Then issue has been resoved adn job was restarted.,neg
938,the batch completed successfully,pos
939,"
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.",neg
940,JOb got failed due to file unavailability. Then issue was fixed and job was restarted and completed successfully.,neg
941,Login-timeout error. Job re-run successfully.,pos
942,the job completed Succefully on rerun,pos
943,The job was confirmed at backend,pos
944,Job got trigerred wrongly. Hence Job was aborted and cancelled,neg
945,The job has been completed succesfully on re-run,pos
946,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.,neg
947,"Source file unavailability , job completed successfully after receiving the updated file.",pos
948,On re-run job completed successfully.,pos
949,The job failed due to log-in time out which has been re-executed and completed successfully.,neg
950,The job ran successfully on re-run,pos
951,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.",neg
952,The job was executed successfully on rerun,pos
953,JOb got failed due to name pipe error issue. Then job was re-started and completed successfully,neg
954,Job got failed due to null value issue. Then issue was fixed and job was re-started and completed successfully.,pos
955,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
956,JOb got failed due to connecitvity issue theen job was re-started and completed,neg
957,The job failed with PIPE Error due to the database connection time out.. The issue was rsolved and the job was restarted and completed successfully.,neg
958,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
959,Source file not available. Job re-run once the file is available.,pos
960,Source file issue. Job re-run once the file was available.,pos
961,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
962,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully.",pos
963,"Source file unavailability , job completed successfully after receiving the updated file.",pos
964,The job abended as the source connection was not active. We have cancelled the batch for the day's run.,neg
965,Source file not available. Job re-run once the file is available.,pos
966,The job got abended with PIPE error due to database connection time out.,neg
967,the job failed due to source server unavailability it completed after some time.,neg
968,brj issue. completed on re-run,pos
969,Job got failed due to file unavailability. Then issue was fixed and job was re started,neg
970,re run was successfull,pos
971,"brj was down, hence jobs failed. Jobs were re-run successfully.",neg
972,The job abended due to duplicate data issue. The issue was fixed manually and the job was restarted and completed successfully.,pos
973,Wrongly triggered.,pos
974,JOb got failed due to null value issue. Then issue was fixed and job was re-started,neg
975,Job got failed due to data issue. Then issue has been fixed and job has been fixed and job has been re-executed and completed,neg
976,Job abended as the oraacle source database was down. The job will be restarted once the Oracle server is restarted.,pos
977,"Source file unavailability , job completed successfully after receiving the updated file.",pos
978,"
The job failed in update status query.We have manually changed the status and the job completed successfully.",neg
979,Job completed successfully on re-run.,pos
980,JOb got failed due to name pipe error. Then issue was resolved and job was re-started,neg
981,The job abended with PIPE ERROR due to database connection time out. The issue was fixed and the job was restarted and completed successfully.,neg
982,On re-run job completed successfully.,pos
983,The job got abended with PIPE error due to database connection time out.,neg
984,Job got hanged up and running for longer time. Then the job has been killed and cancelled for the day.,neg
985,completed on re-run,pos
986,"Source file unavailability , job completed successfully after receiving the updated file.",pos
987,Job got failed due to duplicate issue. Then issue has been fixed and job was re-started,neg
988,self lock. script executed,pos
989,Source file not available. Job re-run once the file is available.,pos
990,brj issue. Job re-run once brj is up and completed successfully.,pos
991,self lock. script executed.,pos
992,the job completed on rerun,pos
993,The job abended as the duplicate issue. The issue was fixed and the job was restarted and completed successfully.,pos
994,The job failed with PIPE Error due to the database connection time out.. The issue was rsolved and the job was restarted and completed successfully.,neg
995,JOb got failed due to connecitvity issue theen job was re-started and completed,neg
996,"brj was down, hence jobs failed. Jobs were re-run successfully.",neg
997,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.,neg
998,"time out issue , on rerun the job completed successfully",pos
999,Source file not available.,pos
1000,"
The job failed due to null values in not null field.We have re-executed the job after deleting the invalid records and completed successfully.",pos
1001,Job got trigerred wrongly. Hence Job was aborted and cancelled,neg
1002,Batch Issues. Jobs were re-run successfully.,pos
1003,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
1004,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.,pos
1005,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,neg
1006,The job completed successfully on re-running.,pos
1007,no spool space in db. completed on re-run,neg
1008,Job got failed due to TD outage. Then issue was fixed and job was re-started.,neg
1009,Wrongly triggered from brj.,pos
1010,The job has been cancelled,neg
1011,The job has been completed on re-run,pos
1012,The job has been ran successfully on rerun,pos
1013,re-run was successful.,pos
1014,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.,neg
1015,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
1016,THe job abended due to duplicate data issue. The issue was fixed and the job was restarted and completed successfully.,pos
1017,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
1018,Schedule is completed.,pos
1019,JOb got faield due to file unavailability,pos
1020,The job abended due to duplicate issue. The issue was fixed and the job was restarted and completed successfully.,pos
1021,Source file not available. Job re-run once the file is available.,pos
1022,Job was executed successfully on re run.,pos
1023,Source file issue. ,pos
1024,"brj was down, hence jobs failed. Jobs were re-run successfully.",neg
1025,"Batch entry was not there , updated the entry to R status f, the job completed successfully.",pos
1026,The job ran successfully on rerunning,pos
1027,schedule triggered wrongly. so the job are killed manually. ,neg
1028,failed due to duplicates. delated the duplicates and re-run was successful.,pos
1029,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully.",pos
1030,no source file. ,neg
1031,the job completed Succefully on rerun,pos
1032,JOb got failed due to file unavailability. Then job was restarted once file have been placed in the path,neg
1033,Completed on re-run,pos
1034,The job abended due to Database Login Time out issue as there was load in the TD box. We have reexecuted the job after the load was reduced and the job got completed successfully. ,pos
1035,Job got failed due to connectivty issue. Then issue has been fixed and job has been re started,neg
1036,"failed while moving the file. completed on re-run
",neg
1037,The job completed on rerun,pos
1038,The job ran successfully on re-run,pos
1039,brj issue. completed on re-run,pos
1040,Job got failed due to duplicate issue. Then issue was fixed and job was re-started.,neg
1041,Job completed successfully on re-run.,pos
1042,The completed successfully,pos
1043,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
1044,"The job abended with PIPE ERROR due to the database connection timeout. tbload was released and the job was restarted, job got completed successfully.",neg
1045,Job re-run at backend,pos
1046,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully,pos
1047,Job got failed due to file unavailability. Then job was re started once the file was placed in the path.,neg
1048,Named pipe error. Lock released and job re-run successfully.,pos
1049,on rerun the job completed successfully.,pos
1050,Confirmed at backend,pos
1051,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
1052,table has been loacked. released the m load and moved the row count file from archieve to arrival area.,pos
1053,"There was an issue with the TD upgrade happened, fix was later provide by DBA after which job has been rerun and completed successfully",pos
1054,The job failed due to log-in time out which has been re-executed and completed successfully.,neg
1055,he job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,neg
1056,"
Job failed due to database unavailability.It completed successfully after the server availability.",neg
1057,The job abended due to login timeout issue. The issue was fixed and the job was reexecuted and completed successfully.,pos
1058,Job got abended due to duplicate issue. Then issue has been fixed and job was restarted.,pos
1059,"issue with TD upgrade, job has been rerun after fix by TD team which was completed successfully",pos
1060,Failed due to lock issue and manually relelased the lock and re-run the job and job was successful on re-run.,pos
1061,The job completed successfully on re-executing the job,pos
1062,Job completed on re-run.,pos
1063,The job ran successfully on re-run,pos
1064,Job got failed due to data issue. Then issue was fixed and job was re-started,neg
1065,Job got failed due to duplicate issue. Then issue has been fixed and job has been re started,neg
1066,The job abended due to duplicate data issue. The issue was fixed and the job was restarted and completed successfully.,pos
1067,"The job failed in update status query.We have manually changed the status and the job completed successfully.
",neg
1068,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.",neg
1069,self lcok. script executed.,pos
1070,Job got failed due to connectivity issue. Job was re started and completed successfully.,neg
1071,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
1072,The job abended duee to duplicate data issue. The issue was fixeed and the job was restarted and completeed successfully.,pos
1073,Self-lock occured. Job completed on re-run,pos
1074,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
1075,The job completed on rerun,pos
1076,job was successful on re-running the job,pos
1077,Self-lock. Job completed by running the query manually.,pos
1078,Job got abended due to duplicate issue. Then issue has been fixed and job  has been re-executed and completed successfully.,pos
1079,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully.",pos
1080,no source file. Completed on re-run,neg
1081,Self-lock occured. Job completed by manually running the query.,pos
1082,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
1083,Job got failed due to name pipe error. Then job was re-started and completed successfully.,neg
1084,On re-run job completed successfully.,pos
1085,The job has been completed successfully on re-run,pos
1086,on rerun the job completed successfully.,pos
1087,The job failed due to TD upgrade issue.It completed successfully after the issue is resolved.,pos
1088,"Self lock occurred , on rerun the job completed successfully.",pos
1089,JOb got failed due to connectivity issue. Then job has been restarted.,neg
1090,source file issue . on updated file the job completed successfully,pos
1091,JOb got failed due to data issue. Then issue was fixed and job was re-started.,neg
1092,self lock. script executed.,pos
1093,JOb got failed due to duplicate issue. Then issue was fixed and job was restarted.,neg
1094,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.,neg
1095,Wrongly triggered.,pos
1096,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
1097,The job failed with PIPE Error due to the database connection time out.. The issue was rsolved and the job was restarted and completed successfully.,neg
